file,midi_output,precision,recall,f_measure,ref_count,pred_count,raw_pitch_accuracy,raw_chroma_accuracy,overall_accuracy,voicing_recall,voicing_false_alarm
EN-Alto-1/Glissando/trouble is a friend/Control_Group/0013.wav,EN-Alto-1/Glissando/trouble is a friend/Control_Group/0013.mid,0.18181818181818182,0.4,0.25000000000000006,5,11,0.7938461538461539,0.7938461538461539,0.8041722745625841,0.8915384615384615,0.12365591397849462
EN-Tenor-1/Mixed_Voice_and_Falsetto/Take a Bow/Control_Group/0002.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/Take a Bow/Control_Group/0002.mid,0.5882352941176471,0.7142857142857143,0.6451612903225806,14,17,0.8757596218771101,0.8757596218771101,0.8858560794044665,0.8757596218771101,0.0
EN-Alto-1/Mixed_Voice_and_Falsetto/god is a girl/Mixed_Voice_Group/0000.wav,EN-Alto-1/Mixed_Voice_and_Falsetto/god is a girl/Mixed_Voice_Group/0000.mid,0.4444444444444444,0.5,0.47058823529411764,8,9,0.9077946768060836,0.9077946768060836,0.9358190709046454,0.9077946768060836,0.0136986301369863
EN-Alto-1/Breathy/who says/Breathy_Group/0005.wav,EN-Alto-1/Breathy/who says/Breathy_Group/0005.mid,0.3181818181818182,0.4666666666666667,0.3783783783783784,15,22,0.7591575091575091,0.7591575091575091,0.7672,0.7591575091575091,0.17721518987341772
EN-Tenor-1/Mixed_Voice_and_Falsetto/Sparks Fly/Mixed_Voice_Group/0000.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/Sparks Fly/Mixed_Voice_Group/0000.mid,0.47368421052631576,0.5,0.4864864864864865,18,19,0.7807757166947723,0.7807757166947723,0.8179271708683473,0.7807757166947723,0.0
EN-Tenor-1/Mixed_Voice_and_Falsetto/Firework/Falsetto_Group/0005.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/Firework/Falsetto_Group/0005.mid,0.45454545454545453,0.5,0.47619047619047616,10,11,0.885823754789272,0.885823754789272,0.8920289855072464,0.885823754789272,0.0
EN-Alto-1/Vibrato/memory/Vibrato_Group/0006.wav,EN-Alto-1/Vibrato/memory/Vibrato_Group/0006.mid,0.2777777777777778,0.4166666666666667,0.33333333333333337,12,18,0.8901220865704772,0.8901220865704772,0.8995963673057518,0.8901220865704772,0.005555555555555556
EN-Alto-1/Pharyngeal/beauty and the beast/Pharyngeal_Group/0000.wav,EN-Alto-1/Pharyngeal/beauty and the beast/Pharyngeal_Group/0000.mid,0.0,0.0,0.0,5,7,0.7728459530026109,0.7728459530026109,0.8082077051926299,0.7728459530026109,0.12850467289719625
EN-Alto-2/Vibrato/Dream It Possible/Vibrato_Group/0003.wav,EN-Alto-2/Vibrato/Dream It Possible/Vibrato_Group/0003.mid,0.5238095238095238,0.55,0.5365853658536585,20,21,0.8627768773635872,0.8627768773635872,0.887830229536596,0.8627768773635872,0.010917030567685589
EN-Tenor-1/Mixed_Voice_and_Falsetto/Always Remember Us This Way/Control_Group/0012.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/Always Remember Us This Way/Control_Group/0012.mid,0.47368421052631576,0.6428571428571429,0.5454545454545454,14,19,0.9056304520222046,0.9056304520222046,0.8924050632911392,0.9056304520222046,0.2111801242236025
EN-Tenor-1/Mixed_Voice_and_Falsetto/You Belong With Me/Falsetto_Group/0007.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/You Belong With Me/Falsetto_Group/0007.mid,0.8181818181818182,0.6923076923076923,0.7500000000000001,13,11,0.9128822984244671,0.9128822984244671,0.9128822984244671,0.9138090824837812,0.0
EN-Tenor-1/Mixed_Voice_and_Falsetto/Lavender Haze/Falsetto_Group/0000.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/Lavender Haze/Falsetto_Group/0000.mid,0.29411764705882354,0.2631578947368421,0.27777777777777773,19,17,0.9299883313885647,0.9299883313885647,0.9336569579288025,0.9299883313885647,0.02142857142857143
EN-Tenor-1/Vibrato/Rolling in the Deep/Vibrato_Group/0004.wav,EN-Tenor-1/Vibrato/Rolling in the Deep/Vibrato_Group/0004.mid,0.5263157894736842,0.5882352941176471,0.5555555555555555,17,19,0.9487836107554417,0.9487836107554417,0.9403393541324576,0.9519846350832266,0.10943396226415095
EN-Tenor-1/Mixed_Voice_and_Falsetto/August/Falsetto_Group/0004.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/August/Falsetto_Group/0004.mid,0.6428571428571429,0.5294117647058824,0.5806451612903226,17,14,0.8776065276518585,0.8776065276518585,0.8895800933125972,0.8776065276518585,0.03825136612021858
EN-Tenor-1/Breathy/What Was I Made For？/Breathy_Group/0001.wav,EN-Tenor-1/Breathy/What Was I Made For？/Breathy_Group/0001.mid,0.1111111111111111,0.1,0.10526315789473685,10,9,0.888135593220339,0.888135593220339,0.9055793991416309,0.9084745762711864,0.0
EN-Tenor-1/Mixed_Voice_and_Falsetto/What Was I Made For？/Control_Group/0008.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/What Was I Made For？/Control_Group/0008.mid,0.4,0.36363636363636365,0.380952380952381,11,10,0.9372599231754162,0.9372599231754162,0.9400977995110025,0.9372599231754162,0.0
EN-Alto-1/Pharyngeal/love stroy/Pharyngeal_Group/0003.wav,EN-Alto-1/Pharyngeal/love stroy/Pharyngeal_Group/0003.mid,0.13333333333333333,0.11764705882352941,0.125,17,15,0.8436414176511466,0.8436414176511466,0.8436414176511466,0.8457261987491314,0.0
EN-Alto-1/Mixed_Voice_and_Falsetto/somewhere over the rainbow/Control_Group/0003.wav,EN-Alto-1/Mixed_Voice_and_Falsetto/somewhere over the rainbow/Control_Group/0003.mid,0.5263157894736842,0.625,0.5714285714285714,16,19,0.9177489177489178,0.9177489177489178,0.9216867469879518,0.9177489177489178,0.027777777777777776
EN-Alto-1/Pharyngeal/monsters/Pharyngeal_Group/0009.wav,EN-Alto-1/Pharyngeal/monsters/Pharyngeal_Group/0009.mid,0.3125,0.38461538461538464,0.3448275862068966,13,16,0.7137648131267093,0.7137648131267093,0.7533281127642913,0.7137648131267093,0.005555555555555556
EN-Tenor-1/Breathy/Million Reasons/Control_Group/0002.wav,EN-Tenor-1/Breathy/Million Reasons/Control_Group/0002.mid,0.2857142857142857,0.24,0.2608695652173913,25,21,0.8036605657237936,0.8036605657237936,0.8191108840061319,0.8036605657237936,0.0
EN-Tenor-1/Pharyngeal/Long Live/Control_Group/0009.wav,EN-Tenor-1/Pharyngeal/Long Live/Control_Group/0009.mid,0.47058823529411764,0.4,0.4324324324324324,20,17,0.8949115044247787,0.8949115044247787,0.9014373716632443,0.9070796460176991,0.014285714285714285
EN-Tenor-1/Mixed_Voice_and_Falsetto/Diamonds/Falsetto_Group/0008.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/Diamonds/Falsetto_Group/0008.mid,0.29411764705882354,0.37037037037037035,0.3278688524590164,27,34,0.8288590604026845,0.8288590604026845,0.8362760834670947,0.8573825503355704,0.0
EN-Tenor-1/Pharyngeal/Rolling in the Deep/Control_Group/0003.wav,EN-Tenor-1/Pharyngeal/Rolling in the Deep/Control_Group/0003.mid,0.36,0.391304347826087,0.37499999999999994,23,25,0.8772941793392763,0.8772941793392763,0.8868471953578336,0.8825380178290508,0.0
EN-Alto-2/Breathy/Safe and Sound/Control_Group/0002.wav,EN-Alto-2/Breathy/Safe and Sound/Control_Group/0002.mid,0.7,0.7368421052631579,0.717948717948718,19,20,0.8510777269758328,0.8510777269758328,0.8893203883495145,0.8510777269758328,0.0
EN-Alto-2/Glissando/Safe and Sound/Control_Group/0003.wav,EN-Alto-2/Glissando/Safe and Sound/Control_Group/0003.mid,0.7368421052631579,0.6666666666666666,0.7,21,19,0.9323076923076923,0.9323076923076923,0.9410599306587419,0.9323076923076923,0.02284263959390863
EN-Tenor-1/Glissando/Rolling in the Deep/Control_Group/0001.wav,EN-Tenor-1/Glissando/Rolling in the Deep/Control_Group/0001.mid,0.45,0.391304347826087,0.4186046511627907,23,20,0.8445847498785818,0.8445847498785818,0.8527200353825741,0.8484701311316173,0.06435643564356436
EN-Alto-1/Pharyngeal/monsters/Pharyngeal_Group/0000.wav,EN-Alto-1/Pharyngeal/monsters/Pharyngeal_Group/0000.mid,0.2727272727272727,0.3333333333333333,0.3,18,22,0.6877770740975301,0.6877770740975301,0.7517865650309671,0.8049398353388221,0.05384615384615385
EN-Alto-1/Mixed_Voice_and_Falsetto/all is found/Control_Group/0001.wav,EN-Alto-1/Mixed_Voice_and_Falsetto/all is found/Control_Group/0001.mid,0.3684210526315789,0.4117647058823529,0.3888888888888889,17,19,0.8984416980118216,0.8984416980118216,0.9065743944636678,0.8989790435249866,0.0
EN-Alto-2/Mixed_Voice_and_Falsetto/Fly Me to the Moon/Control_Group/0002.wav,EN-Alto-2/Mixed_Voice_and_Falsetto/Fly Me to the Moon/Control_Group/0002.mid,0.6,0.42857142857142855,0.5,14,10,0.8610871440897325,0.8610871440897325,0.9144050104384134,0.8610871440897325,0.003963011889035667
EN-Tenor-1/Vibrato/Stay/Vibrato_Group/0002.wav,EN-Tenor-1/Vibrato/Stay/Vibrato_Group/0002.mid,0.6,0.6,0.6,10,10,0.9256317689530686,0.9256317689530686,0.912542372881356,0.9256317689530686,0.28888888888888886
